#column 1 timestamp
#column 3 balance
#column 4 subtotal
#column 5 outgoing
#column 6 incoming
#column 7 dues
#column 8 other
#column 9 members
#column 10 ARPM
1614556800 2021-03 17268.93 14689.95 -15085.05 29775 9785.70 19930 13 752 
1617235200 2021-04 13825.92 -3443.01 -15058.05 11615.04 10092.74 1463 14 720 
1619827200 2021-05 8243.87 -5582.05 -15167.05 9585 7885.70 1640 11 716 
1622505600 2021-06 8440.47 196.60 -15688.40 15885 8361.35 7440 12 696 
1625097600 2021-07 6448.27 -1992.20 -14537.20 12545 9652.55 2800 14 689 
1627776000 2021-08 5432.82 -1015.45 -14390.45 13375 11152.55 2130 17 656 
1630454400 2021-09 3987.37 -1445.45 -14380.45 12935 10152.55 2690 14 725 
1633046400 2021-10 2065.07 -1922.30 -14350.80 12428.5 9882.20 2483.5 15 658 
1635724800 2021-11 9293.59 7228.52 -28909.98 36138.5 9557.85 26493.5 14 682 
1638316800 2021-12 5405.45 -3888.14 -14691.64 10803.5 8749.05 1958.5 12 729 
1640995200 2022-01 6718.15 1312.70 -14405.80 15718.5 14022.20 1578.5 16 876 
1643673600 2022-02 4574.25 -2143.90 -14387.40 12243.5 10644.05 1503.5 10 1064 
1646092800 2022-03 4116.80 -457.45 -28608.95 28151.5 12467.05 15588.5 13 959 
1648771200 2022-04 4835.35 718.55 -14359.95 15078.5 12466.05 2516.5 13 958 
1651363200 2022-05 5904.50 1069.15 -14724.35 15793.5 12966.05 2731.5 14 926 
1654041600 2022-06 8017.05 2112.55 -14235.95 16348.5 14474.05 1778.5 15 964 
1656633600 2022-07 9851.60 1834.55 -14113.95 15948.5 13674.05 2178.5 13 1051 
1659312000 2022-08 13596.15 3744.55 -15043.95 18788.5 15574.05 2118.5 17 916 
1661990400 2022-09 17612.35 4016.20 -14632.30 18648.5 15749.70 2078.5 18 874 
1664582400 2022-10 21895.60 4283.25 -13965.25 18248.5 16674.05 1478.5 18 926 
1667260800 2022-11 26407.15 4511.55 -13961.95 18473.5 16874.05 1503.5 18 937 
1669852800 2022-12 18994.95 -7412.20 -24320.70 16908.5 15507.20 1338.5 16 969 
1672531200 2023-01 20751.55 1756.60 -14331.90 16088.5 14707.20 1318.5 14 1050 
1675209600 2023-02 21154.40 402.85 -13895.65 14298.5 11295.35 2973.5 12 941 
1677628800 2023-03 23986.75 2832.35 -13895.65 16728 14558.35 2140 16 909 
1680307200 2023-04 26025.75 2039 -13946 15985 15373.50 560 16 960 
1682899200 2023-05 27532.10 1506.35 -13918.65 15425 13795.35 1600 14 985 
1685577600 2023-06 28598.45 1066.35 -13918.65 14985 13795.35 1160 14 985 
1688169600 2023-07 30433.95 1835.50 -14109.50 15945 14673.50 1220 16 917 
1690848000 2023-08 30641.65 207.70 -16717.30 16925 15165.70 400 18 842 
1693526400 2023-09 34058.35 3416.70 -15308.30 18725 17165.70 1500 19 903 
1696118400 2023-10 37471.05 3412.70 -14132.30 17545 16465.70 1020 18 914 
1698796800 2023-11 40459.40 2988.35 -15706.65 18695 17545.35 1120 20 877 
1701388800 2023-12 42943.75 2484.35 -14540.65 17025 16795.35 200 19 883 
1704067200 2024-01 45475.10 2531.35 -14093.65 16625 15995.35 600 17 940 
1706745600 2024-02 46236.10 761 -14064 14825 14025 800 14 1001 
1709251200 2024-03 47485.10 1249 -15496 16745 14525 1520 16 907 
1711929600 2024-04 49518.10 2033 -15062 17095 15225 1170 17 895 
1714521600 2024-05 51216.60 1698.5 -18455.5 20154 16625 2505 19 875 
1717200000 2024-06 59207.60 7991 -14064 22055 20515 1540 21 976 
1719792000 2024-07 63535.60 4328 -16557 20885 20115 770 21 957 
1722470400 2024-08 53853.60 -9682 -34808 25126 19726 5400 20 986 
1725148800 2024-09 59195.50 5341.90 -29644.10 34986 19726 15260 20 986 
1727740800 2024-10 64275.50 5080 -30076 35156 19226 15930 19 1011 
1730419200 2024-11 67302.50 3027 -15488 18515 17175 1340 20 858 
1733011200 2024-12 69892.50 2590 -15885 18475 17875 600 21 851 
1735689600 2025-01 72249.50 2357 -15094 17451 16851 600 21 802 
1738368000 2025-02 74116.50 1867 -15388 17255 16335 920 21 777 
1740787200 2025-03 76607.50 2491 -15094 17585 16635 950 22 756 
1743465600 2025-04 79686.50 3079 -16022 19101 18501 600 24 770 
1746057600 2025-05 80367.50 681 -21219 21900 16345 5555 23 710 
1748736000 2025-06 78438.50 -1929 -15741 13812 12927 885 17 760 
1751328000 2025-07 75868.50 -2570 -15682 13112 12227 885 16 764 
1754006400 2025-08 73994.90 -1873.60 -15712 13838.40 12927 911.40 17 760 
1756684800 2025-09 72489.90 -1505 -15717 14212 13327 885 17 783 
1759276800 2025-10 72584.90 95 -15881 15976 14251 1725 17 838 
1761955200 2025-11 72270.90 -314 -15640 15326 14251 1075 16 890 
1764547200 2025-12 71882.90 -388 -15344 14956 13551 1405 15 903 
1767225600 2026-01 72325.90 443 -14583 15026 14251 775 16 890 
# x Average 72954.82086956521739130434783 628.92086956521739130434783 -16229.69391304347826086956521 16858.61478260869565217391304 13033.41330434782608695652173 3718.385652173913043478260869 17 766 
1769904000 MonthTD 70317.82086956521739130434783 -2637 -14583 11946 11551 395 14 825 
# x Total 142643.7208695652173913043478 72325.90 -1866414.80 1938740.70 1498842.53 427614.35 121 12387 

